original_index,unit2_gps1_nor,original_unit1_pwr1_best-beam,original_unit1_pwr1,original_unit1_gps1,original_unit2_gps1
24474,"[0.029815716243733522, 0.6615967122709928]",30,./unit1/pwr1/pwr_13-36-43.649956.txt,./unit1/gps1/gps_45804_13-36-44.300000.txt,./unit2/gps1/gps_73003_13-36-44.333333.txt
31509,"[0.708680202860243, 0.03964544876426198]",17,./unit1/pwr1/pwr_13-48-29.850095.txt,./unit1/gps1/gps_53255_13-48-30.500000.txt,./unit2/gps1/gps_81477_13-48-30.500000.txt
30048,"[0.5045098266928878, 0.0008627626939657348]",38,./unit1/pwr1/pwr_13-46-03.750593.txt,./unit1/gps1/gps_51713_13-46-04.400000.txt,./unit2/gps1/gps_79724_13-46-04.416666.txt
25485,"[0.028358528554626602, 0.4150508130884402]",33,./unit1/pwr1/pwr_13-38-24.750572.txt,./unit1/gps1/gps_46873_13-38-25.400000.txt,./unit2/gps1/gps_74216_13-38-25.416666.txt
14803,"[0.29586668320040777, 0.5303107821808788]",31,./unit1/pwr1/pwr_12-13-41.588738.txt,./unit1/gps1/gps_26453_12-13-42.266667.txt,./unit2/gps1/gps_52873_12-13-42.250000.txt
28929,"[0.3458974132769179, 0.0005369162342871064]",29,./unit1/pwr1/pwr_13-44-11.850667.txt,./unit1/gps1/gps_50530_13-44-12.500000.txt,./unit2/gps1/gps_78381_13-44-12.500000.txt
12614,"[0.37438409408783646, 0.391095037860284]",59,./unit1/pwr1/pwr_12-10-02.688769.txt,./unit1/gps1/gps_24084_12-10-03.300000.txt,./unit2/gps1/gps_50246_12-10-03.333333.txt
6375,"[0.8796991406583721, 0.40889040915770075]",29,./unit1/pwr1/pwr_11-52-40.659788.txt,./unit1/gps1/gps_12850_11-52-41.300000.txt,./unit2/gps1/gps_37742_11-52-41.333333.txt
3989,"[0.9919955388282955, 0.40825615424680683]",61,./unit1/pwr1/pwr_11-48-42.059714.txt,./unit1/gps1/gps_10268_11-48-42.700000.txt,./unit2/gps1/gps_34879_11-48-42.750000.txt
9365,"[0.6990967446190282, 0.3872807224930314]",40,./unit1/pwr1/pwr_11-57-39.659785.txt,./unit1/gps1/gps_16061_11-57-40.300000.txt,./unit2/gps1/gps_41330_11-57-40.333333.txt
6158,"[0.8944448814465465, 0.40862845746420295]",32,./unit1/pwr1/pwr_11-52-18.959793.txt,./unit1/gps1/gps_12616_11-52-19.600000.txt,./unit2/gps1/gps_37481_11-52-19.583333.txt
15532,"[0.29698252957639293, 0.6158363153450364]",35,./unit1/pwr1/pwr_12-14-54.489221.txt,./unit1/gps1/gps_27242_12-14-55.100000.txt,./unit2/gps1/gps_53748_12-14-55.166666.txt
32060,"[0.7318092968977569, 0.04200882667489208]",34,./unit1/pwr1/pwr_13-49-25.750188.txt,./unit1/gps1/gps_53850_13-49-26.400000.txt,./unit2/gps1/gps_82148_13-49-26.416666.txt
27102,"[0.07811200350891602, 0.12068094496801128]",36,./unit1/pwr1/pwr_13-41-08.350189.txt,./unit1/gps1/gps_48604_13-41-09.000000.txt,./unit2/gps1/gps_76179_13-41-09.000000.txt
4790,"[0.9600595410556938, 0.4085284577447698]",60,./unit1/pwr1/pwr_11-50-02.159816.txt,./unit1/gps1/gps_11137_11-50-02.800000.txt,./unit2/gps1/gps_35840_11-50-02.833333.txt
17619,"[0.2516256403516321, 0.6874951728331948]",34,./unit1/pwr1/pwr_12-18-23.188547.txt,./unit1/gps1/gps_29501_12-18-23.800000.txt,./unit2/gps1/gps_56252_12-18-23.833333.txt
10781,"[0.5820656931489108, 0.3719054435159622]",22,./unit1/pwr1/pwr_12-04-20.908834.txt,./unit1/gps1/gps_20410_12-04-21.600000.txt,./unit2/gps1/gps_46145_12-04-21.583333.txt
6045,"[0.9028213551409139, 0.4086930410293968]",34,./unit1/pwr1/pwr_11-52-07.660257.txt,./unit1/gps1/gps_12492_11-52-08.300000.txt,./unit2/gps1/gps_37346_11-52-08.333333.txt
10945,"[0.5819625233038922, 0.3869014321792683]",35,./unit1/pwr1/pwr_12-04-37.309223.txt,./unit1/gps1/gps_20590_12-04-38.000000.txt,./unit2/gps1/gps_46342_12-04-38.000000.txt
27085,"[0.07610911717498012, 0.12297300989725131]",36,./unit1/pwr1/pwr_13-41-06.650430.txt,./unit1/gps1/gps_48586_13-41-07.300000.txt,./unit2/gps1/gps_76159_13-41-07.333333.txt
14025,"[0.2961514719552214, 0.4254758284473455]",36,./unit1/pwr1/pwr_12-12-23.789237.txt,./unit1/gps1/gps_25606_12-12-24.400000.txt,./unit2/gps1/gps_51939_12-12-24.416666.txt
3061,"[0.99959208029252, 0.37436719082337505]",11,./unit1/pwr1/pwr_11-47-09.259700.txt,./unit1/gps1/gps_9287_11-47-09.900000.txt,./unit2/gps1/gps_33765_11-47-09.916666.txt
8680,"[0.7619528133704989, 0.40474370126383047]",38,./unit1/pwr1/pwr_11-56-31.159414.txt,./unit1/gps1/gps_15332_11-56-31.800000.txt,./unit2/gps1/gps_40508_11-56-31.833333.txt
12107,"[0.38705602304717945, 0.3914977770676832]",45,./unit1/pwr1/pwr_12-09-11.988437.txt,./unit1/gps1/gps_23540_12-09-12.600000.txt,./unit2/gps1/gps_49638_12-09-12.666666.txt
18654,"[0.16296074498753838, 0.7213501422983023]",34,./unit1/pwr1/pwr_12-20-06.689189.txt,./unit1/gps1/gps_30621_12-20-07.300000.txt,./unit2/gps1/gps_57494_12-20-07.333333.txt
10251,"[0.5994971974433623, 0.3741620823798702]",34,./unit1/pwr1/pwr_12-03-27.909213.txt,./unit1/gps1/gps_19847_12-03-28.600000.txt,./unit2/gps1/gps_45509_12-03-28.583333.txt
3701,"[0.9997056147523087, 0.4045755501000431]",20,./unit1/pwr1/pwr_11-48-13.259758.txt,./unit1/gps1/gps_9963_11-48-13.900000.txt,./unit2/gps1/gps_34533_11-48-13.916666.txt
15361,"[0.2969795006938094, 0.6158373956196617]",34,./unit1/pwr1/pwr_12-14-37.389154.txt,./unit1/gps1/gps_27053_12-14-38.000000.txt,./unit2/gps1/gps_53543_12-14-38.083333.txt
26386,"[0.001917151850533773, 0.21871847475378053]",58,./unit1/pwr1/pwr_13-39-55.649811.txt,./unit1/gps1/gps_47831_13-39-56.300000.txt,./unit2/gps1/gps_75307_13-39-56.333333.txt
14531,"[0.2960180300557406, 0.484846846267086]",30,./unit1/pwr1/pwr_12-13-14.389261.txt,./unit1/gps1/gps_26153_12-13-15.000000.txt,./unit2/gps1/gps_52547_12-13-15.083333.txt
32054,"[0.7318097363037273, 0.04200881180863331]",34,./unit1/pwr1/pwr_13-49-25.150649.txt,./unit1/gps1/gps_53844_13-49-25.800000.txt,./unit2/gps1/gps_82141_13-49-25.833333.txt
16288,"[0.2979776030334731, 0.6706024303222529]",34,./unit1/pwr1/pwr_12-16-10.089273.txt,./unit1/gps1/gps_28056_12-16-10.700000.txt,./unit2/gps1/gps_54655_12-16-10.750000.txt
16911,"[0.2581954778353829, 0.6874659856008155]",34,./unit1/pwr1/pwr_12-17-12.389226.txt,./unit1/gps1/gps_28735_12-17-13.000000.txt,./unit2/gps1/gps_55403_12-17-13.083333.txt
31590,"[0.7181963380648547, 0.04102066294496157]",57,./unit1/pwr1/pwr_13-48-37.950578.txt,./unit1/gps1/gps_53339_13-48-38.600000.txt,./unit2/gps1/gps_81574_13-48-38.583333.txt
23830,"[0.03174824059572773, 0.7707653852665621]",30,./unit1/pwr1/pwr_13-35-39.250675.txt,./unit1/gps1/gps_45130_13-35-39.900000.txt,./unit2/gps1/gps_72230_13-35-39.916666.txt
8577,"[0.7713034065580435, 0.40659124811375014]",33,./unit1/pwr1/pwr_11-56-20.859712.txt,./unit1/gps1/gps_15224_11-56-21.500000.txt,./unit2/gps1/gps_40384_11-56-21.500000.txt
19189,"[0.11349409146012504, 0.7397126775153324]",35,./unit1/pwr1/pwr_12-21-00.189038.txt,./unit1/gps1/gps_31196_12-21-00.800000.txt,./unit2/gps1/gps_58136_12-21-00.833333.txt
16185,"[0.29772148300436035, 0.6548025142804657]",34,./unit1/pwr1/pwr_12-15-59.789025.txt,./unit1/gps1/gps_27946_12-16-00.400000.txt,./unit2/gps1/gps_54531_12-16-00.416666.txt
15304,"[0.29696067332077325, 0.61484480177352]",35,./unit1/pwr1/pwr_12-14-31.688332.txt,./unit1/gps1/gps_26991_12-14-32.366667.txt,./unit2/gps1/gps_53474_12-14-32.333333.txt
11105,"[0.5812860560922876, 0.38828624494534564]",63,./unit1/pwr1/pwr_12-04-53.308423.txt,./unit1/gps1/gps_20762_12-04-54.000000.txt,./unit2/gps1/gps_46534_12-04-54.000000.txt
13519,"[0.2992989438299572, 0.38789762859250754]",35,./unit1/pwr1/pwr_12-11-33.188446.txt,./unit1/gps1/gps_25067_12-11-33.800000.txt,./unit2/gps1/gps_51332_12-11-33.833333.txt
28194,"[0.22710187167533044, 0.002336048948427652]",33,./unit1/pwr1/pwr_13-42-58.350152.txt,./unit1/gps1/gps_49743_13-42-59.000000.txt,./unit2/gps1/gps_77499_13-42-59.000000.txt
26179,"[0.00606701614333505, 0.24073021182683607]",34,./unit1/pwr1/pwr_13-39-34.950206.txt,./unit1/gps1/gps_47616_13-39-35.600000.txt,./unit2/gps1/gps_75058_13-39-35.583333.txt
20895,"[0.031471652968106084, 0.8445450395814066]",46,./unit1/pwr1/pwr_12-23-50.788714.txt,./unit1/gps1/gps_33042_12-23-51.400000.txt,./unit2/gps1/gps_60183_12-23-51.416666.txt
22018,"[0.029452297294852475, 0.998498686074244]",56,./unit1/pwr1/pwr_12-25-43.989057.txt,./unit1/gps1/gps_34267_12-25-44.600000.txt,./unit2/gps1/gps_61542_12-25-44.666666.txt
2869,"[0.9980329873084788, 0.37439411344370643]",59,./unit1/pwr1/pwr_11-46-50.059426.txt,./unit1/gps1/gps_9081_11-46-50.700000.txt,./unit2/gps1/gps_33535_11-46-50.750000.txt
27471,"[0.12195675246080007, 0.07008731581055021]",33,./unit1/pwr1/pwr_13-41-45.249841.txt,./unit1/gps1/gps_48984_13-41-45.900000.txt,./unit2/gps1/gps_76622_13-41-45.916666.txt
18701,"[0.1582793168352835, 0.7224915860742983]",30,./unit1/pwr1/pwr_12-20-11.388952.txt,./unit1/gps1/gps_30677_12-20-12.000000.txt,./unit2/gps1/gps_57551_12-20-12.083333.txt
21689,"[0.032788297822620556, 0.9840620962382525]",5,./unit1/pwr1/pwr_12-25-11.089067.txt,./unit1/gps1/gps_33914_12-25-11.700000.txt,./unit2/gps1/gps_61147_12-25-11.750000.txt
23531,"[0.032204146121604604, 0.815189165525026]",48,./unit1/pwr1/pwr_13-35-09.349956.txt,./unit1/gps1/gps_44807_13-35-10.000000.txt,./unit2/gps1/gps_71871_13-35-10.000000.txt
10549,"[0.5896531311942265, 0.36784388404560836]",35,./unit1/pwr1/pwr_12-03-57.708618.txt,./unit1/gps1/gps_20158_12-03-58.400000.txt,./unit2/gps1/gps_45866_12-03-58.333333.txt
3155,"[0.9999586186885229, 0.37820075291570576]",36,./unit1/pwr1/pwr_11-47-18.660228.txt,./unit1/gps1/gps_9384_11-47-19.300000.txt,./unit2/gps1/gps_33878_11-47-19.333333.txt
13232,"[0.3147641331157089, 0.3882761062225285]",61,./unit1/pwr1/pwr_12-11-04.488796.txt,./unit1/gps1/gps_24750_12-11-05.133334.txt,./unit2/gps1/gps_50988_12-11-05.166666.txt
3156,"[0.999958796463462, 0.3782433543817013]",36,./unit1/pwr1/pwr_11-47-18.759593.txt,./unit1/gps1/gps_9385_11-47-19.400000.txt,./unit2/gps1/gps_33879_11-47-19.416666.txt
29576,"[0.4373273128137335, 0.0004970550973243058]",33,./unit1/pwr1/pwr_13-45-16.550525.txt,./unit1/gps1/gps_51213_13-45-17.200000.txt,./unit2/gps1/gps_79157_13-45-17.166666.txt
4194,"[0.9920014154642145, 0.408283106599529]",63,./unit1/pwr1/pwr_11-49-02.559807.txt,./unit1/gps1/gps_10487_11-49-03.200000.txt,./unit2/gps1/gps_35125_11-49-03.250000.txt
21056,"[0.03176165757277159, 0.8744363135235673]",15,./unit1/pwr1/pwr_12-24-06.889190.txt,./unit1/gps1/gps_33224_12-24-07.500000.txt,./unit2/gps1/gps_60377_12-24-07.583333.txt
4934,"[0.9459713059363062, 0.4087118169926562]",48,./unit1/pwr1/pwr_11-50-16.559896.txt,./unit1/gps1/gps_11293_11-50-17.200000.txt,./unit2/gps1/gps_36013_11-50-17.250000.txt
26392,"[0.0022302101760124007, 0.21820385776326373]",55,./unit1/pwr1/pwr_13-39-56.250518.txt,./unit1/gps1/gps_47837_13-39-56.900000.txt,./unit2/gps1/gps_75314_13-39-56.916666.txt
2857,"[0.9980329369947892, 0.3743938607188285]",13,./unit1/pwr1/pwr_11-46-48.860078.txt,./unit1/gps1/gps_9069_11-46-49.500000.txt,./unit2/gps1/gps_33520_11-46-49.500000.txt
18065,"[0.21925428850779738, 0.7051617436991185]",35,./unit1/pwr1/pwr_12-19-07.788801.txt,./unit1/gps1/gps_29991_12-19-08.400000.txt,./unit2/gps1/gps_56787_12-19-08.416666.txt
18258,"[0.20442710331466538, 0.7145906320204054]",34,./unit1/pwr1/pwr_12-19-27.089128.txt,./unit1/gps1/gps_30202_12-19-27.700000.txt,./unit2/gps1/gps_57019_12-19-27.750000.txt
5644,"[0.9146272618369194, 0.40862923546026153]",35,./unit1/pwr1/pwr_11-51-27.560146.txt,./unit1/gps1/gps_12069_11-51-28.200000.txt,./unit2/gps1/gps_36865_11-51-28.250000.txt
32143,"[0.731807492314366, 0.042007097244737196]",34,./unit1/pwr1/pwr_13-49-34.049731.txt,./unit1/gps1/gps_53938_13-49-34.700000.txt,./unit2/gps1/gps_82247_13-49-34.666666.txt
28179,"[0.22476855538492424, 0.002428129958822348]",33,./unit1/pwr1/pwr_13-42-56.850531.txt,./unit1/gps1/gps_49726_13-42-57.500000.txt,./unit2/gps1/gps_77481_13-42-57.500000.txt
18750,"[0.15395393835719196, 0.7261337661460195]",29,./unit1/pwr1/pwr_12-20-16.288428.txt,./unit1/gps1/gps_30730_12-20-16.966667.txt,./unit2/gps1/gps_57609_12-20-16.916666.txt
23984,"[0.031319202566383986, 0.7489356149774885]",6,./unit1/pwr1/pwr_13-35-54.650218.txt,./unit1/gps1/gps_45289_13-35-55.300000.txt,./unit2/gps1/gps_72415_13-35-55.333333.txt
16828,"[0.2648917401395949, 0.6874128043823213]",35,./unit1/pwr1/pwr_12-17-04.088326.txt,./unit1/gps1/gps_28647_12-17-04.725000.txt,./unit2/gps1/gps_55303_12-17-04.750000.txt
17330,"[0.25593495199970784, 0.6874887853385417]",35,./unit1/pwr1/pwr_12-17-54.288904.txt,./unit1/gps1/gps_29190_12-17-54.900000.txt,./unit2/gps1/gps_55905_12-17-54.916666.txt
19668,"[0.057184286563752705, 0.7426737792204349]",35,./unit1/pwr1/pwr_12-21-48.089067.txt,./unit1/gps1/gps_31708_12-21-48.733334.txt,./unit2/gps1/gps_58711_12-21-48.750000.txt
6090,"[0.8993487597240549, 0.40867980023394507]",33,./unit1/pwr1/pwr_11-52-12.159928.txt,./unit1/gps1/gps_12542_11-52-12.800000.txt,./unit2/gps1/gps_37400_11-52-12.833333.txt
5648,"[0.914627308796343, 0.4086293444787319]",35,./unit1/pwr1/pwr_11-51-27.960177.txt,./unit1/gps1/gps_12073_11-51-28.600000.txt,./unit2/gps1/gps_36869_11-51-28.583333.txt
9263,"[0.709802838226619, 0.3872126354691318]",34,./unit1/pwr1/pwr_11-57-29.459569.txt,./unit1/gps1/gps_15952_11-57-30.100000.txt,./unit2/gps1/gps_41207_11-57-30.083333.txt
29351,"[0.40568678706396827, 0.0003023381015145172]",25,./unit1/pwr1/pwr_13-44-54.049831.txt,./unit1/gps1/gps_50976_13-44-54.700000.txt,./unit2/gps1/gps_78887_13-44-54.666666.txt
6396,"[0.8790851831428206, 0.40887795131360044]",24,./unit1/pwr1/pwr_11-52-42.759462.txt,./unit1/gps1/gps_12873_11-52-43.400000.txt,./unit2/gps1/gps_37767_11-52-43.416666.txt
19709,"[0.05334191255092296, 0.7428701166278024]",35,./unit1/pwr1/pwr_12-21-52.188834.txt,./unit1/gps1/gps_31753_12-21-52.800000.txt,./unit2/gps1/gps_58760_12-21-52.833333.txt
26496,"[0.008608885925003125, 0.20482115000613033]",34,./unit1/pwr1/pwr_13-40-06.650502.txt,./unit1/gps1/gps_47950_13-40-07.300000.txt,./unit2/gps1/gps_75439_13-40-07.333333.txt
27997,"[0.1980971882144959, 0.008645748793361944]",35,./unit1/pwr1/pwr_13-42-38.650666.txt,./unit1/gps1/gps_49539_13-42-39.300000.txt,./unit2/gps1/gps_77263_13-42-39.333333.txt
27533,"[0.1296409939955126, 0.061326661492096125]",34,./unit1/pwr1/pwr_13-41-51.450446.txt,./unit1/gps1/gps_49049_13-41-52.100000.txt,./unit2/gps1/gps_76696_13-41-52.083333.txt
17033,"[0.2559457895628936, 0.6874826902121233]",35,./unit1/pwr1/pwr_12-17-24.588808.txt,./unit1/gps1/gps_28868_12-17-25.200000.txt,./unit2/gps1/gps_55549_12-17-25.250000.txt
18624,"[0.1660322231042864, 0.7213224020391894]",35,./unit1/pwr1/pwr_12-20-03.688887.txt,./unit1/gps1/gps_30588_12-20-04.300000.txt,./unit2/gps1/gps_57458_12-20-04.333333.txt
16017,"[0.29723655320286135, 0.6283768401324051]",34,./unit1/pwr1/pwr_12-15-42.988780.txt,./unit1/gps1/gps_27764_12-15-43.600000.txt,./unit2/gps1/gps_54330_12-15-43.666666.txt
5992,"[0.9069378145151101, 0.4086611679772199]",32,./unit1/pwr1/pwr_11-52-02.359715.txt,./unit1/gps1/gps_12432_11-52-03.025000.txt,./unit2/gps1/gps_37282_11-52-03.000000.txt
3832,"[0.9959431690260331, 0.4081138850720822]",58,./unit1/pwr1/pwr_11-48-26.360179.txt,./unit1/gps1/gps_10102_11-48-27.000000.txt,./unit2/gps1/gps_34690_11-48-27.000000.txt
19551,"[0.06928811052662831, 0.7409542349845248]",33,./unit1/pwr1/pwr_12-21-36.388396.txt,./unit1/gps1/gps_31584_12-21-37.066667.txt,./unit2/gps1/gps_58571_12-21-37.083333.txt
13701,"[0.29872609593213956, 0.3878694919019825]",48,./unit1/pwr1/pwr_12-11-51.389267.txt,./unit1/gps1/gps_25261_12-11-52.000000.txt,./unit2/gps1/gps_51551_12-11-52.083333.txt
24306,"[0.030955924495773612, 0.6953515283995472]",37,./unit1/pwr1/pwr_13-36-26.850097.txt,./unit1/gps1/gps_45625_13-36-27.500000.txt,./unit2/gps1/gps_72801_13-36-27.500000.txt
10535,"[0.5903531519090163, 0.36783559368212887]",35,./unit1/pwr1/pwr_12-03-56.309204.txt,./unit1/gps1/gps_20141_12-03-57.000000.txt,./unit2/gps1/gps_45850_12-03-57.000000.txt
21116,"[0.0318596853613182, 0.8856604842228191]",20,./unit1/pwr1/pwr_12-24-12.888836.txt,./unit1/gps1/gps_33289_12-24-13.500000.txt,./unit2/gps1/gps_60449_12-24-13.583333.txt
6909,"[0.8388618876138942, 0.40838407757499035]",58,./unit1/pwr1/pwr_11-53-34.060182.txt,./unit1/gps1/gps_13427_11-53-34.700000.txt,./unit2/gps1/gps_38383_11-53-34.750000.txt
24893,"[0.02822622038967156, 0.5680614344756933]",36,./unit1/pwr1/pwr_13-37-25.550396.txt,./unit1/gps1/gps_46243_13-37-26.200000.txt,./unit2/gps1/gps_73505_13-37-26.166666.txt
26452,"[0.005755685253644278, 0.21153134426796744]",34,./unit1/pwr1/pwr_13-40-02.250388.txt,./unit1/gps1/gps_47902_13-40-02.900000.txt,./unit2/gps1/gps_75386_13-40-02.916666.txt
19726,"[0.05170593022566612, 0.7429188082654306]",36,./unit1/pwr1/pwr_12-21-53.888866.txt,./unit1/gps1/gps_31774_12-21-54.566667.txt,./unit2/gps1/gps_58781_12-21-54.583333.txt
23944,"[0.03136942901996191, 0.75290032139982]",34,./unit1/pwr1/pwr_13-35-50.650010.txt,./unit1/gps1/gps_45246_13-35-51.300000.txt,./unit2/gps1/gps_72367_13-35-51.333333.txt
29716,"[0.457624619675186, 0.000608075598684008]",34,./unit1/pwr1/pwr_13-45-30.550328.txt,./unit1/gps1/gps_51365_13-45-31.200000.txt,./unit2/gps1/gps_79325_13-45-31.166666.txt
8683,"[0.7617320034707181, 0.4046077353420061]",37,./unit1/pwr1/pwr_11-56-31.459565.txt,./unit1/gps1/gps_15335_11-56-32.100000.txt,./unit2/gps1/gps_40511_11-56-32.083333.txt
8273,"[0.7856724891952753, 0.40693205984361575]",35,./unit1/pwr1/pwr_11-55-50.459540.txt,./unit1/gps1/gps_14898_11-55-51.133334.txt,./unit2/gps1/gps_40019_11-55-51.083333.txt
5321,"[0.9146498359007849, 0.40863899261805203]",36,./unit1/pwr1/pwr_11-50-55.259856.txt,./unit1/gps1/gps_11722_11-50-55.933334.txt,./unit2/gps1/gps_36477_11-50-55.916666.txt
31317,"[0.6841191249249924, 0.03845278610363324]",41,./unit1/pwr1/pwr_13-48-10.649825.txt,./unit1/gps1/gps_53051_13-48-11.300000.txt,./unit2/gps1/gps_81247_13-48-11.333333.txt
3184,"[0.9999595981278426, 0.3795396341951195]",36,./unit1/pwr1/pwr_11-47-21.559472.txt,./unit1/gps1/gps_9413_11-47-22.200000.txt,./unit2/gps1/gps_33913_11-47-22.250000.txt
15595,"[0.29698463939601544, 0.6158381686600471]",34,./unit1/pwr1/pwr_12-15-00.788450.txt,./unit1/gps1/gps_27310_12-15-01.400000.txt,./unit2/gps1/gps_53823_12-15-01.416666.txt
